// DAG automatically generated by daggen at Sat Dec  8 02:18:34 2018
// ./daggen -n 50 -o dag.txt 
NODE_COUNT 138
NODE 0 1,2,3,4,5,6 ROOT 0.0 0.0
NODE 100 137 COMPUTATION 1736327630 0.18
NODE 101 108,109,110 COMPUTATION 134217728000 0.12
NODE 108 120 TRANSFER 209715200 0.0
NODE 109 122 TRANSFER 209715200 0.0
NODE 110 123 TRANSFER 209715200 0.0
NODE 102 111 COMPUTATION 134217728000 0.07
NODE 111 121 TRANSFER 209715200 0.0
NODE 103 112 COMPUTATION 25863760469 0.08
NODE 112 122 TRANSFER 75497472 0.0
NODE 104 113,114,115 COMPUTATION 32091855623 0.07
NODE 113 119 TRANSFER 679477248 0.0
NODE 114 120 TRANSFER 679477248 0.0
NODE 115 124 TRANSFER 679477248 0.0
NODE 105 116,117,118 COMPUTATION 134217728000 0.15
NODE 116 121 TRANSFER 209715200 0.0
NODE 117 122 TRANSFER 209715200 0.0
NODE 118 123 TRANSFER 209715200 0.0
NODE 119 125 COMPUTATION 6570978202 0.09
NODE 125 136 TRANSFER 134217728 0.0
NODE 120 126 COMPUTATION 2723658234 0.16
NODE 126 134 TRANSFER 75497472 0.0
NODE 121 127,128,129 COMPUTATION 68719476736 0.13
NODE 127 133 TRANSFER 134217728 0.0
NODE 128 134 TRANSFER 134217728 0.0
NODE 129 136 TRANSFER 134217728 0.0
NODE 122 137 COMPUTATION 322678066 0.18
NODE 123 130 COMPUTATION 28991029248 0.04
NODE 130 135 TRANSFER 75497472 0.0
NODE 124 131,132 COMPUTATION 34142697458 0.03
NODE 131 133 TRANSFER 679477248 0.0
NODE 132 134 TRANSFER 679477248 0.0
NODE 133 137 COMPUTATION 549755813888 0.17
NODE 134 137 COMPUTATION 282438489003 0.11
NODE 135 137 COMPUTATION 8589934592 0.14
NODE 136 137 COMPUTATION 101107746135 0.15
NODE 137 - END 0.0 0.0
